YEAR|MINTAGE|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO
1985D|519962888|-1|-1|-1|-1|-1|-1|.35|2.5|-1||Eagle Reverse Resumed
1985S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3362821|Eagle Reverse Resumed
1986P|551199333|-1|-1|-1|-1|-1|-1|1|4|-1||Eagle Reverse Resumed
1986D|504298660|-1|-1|-1|-1|-1|-1|3|9|-1||Eagle Reverse Resumed
1986S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3010497|Eagle Reverse Resumed
1987P|582499481|-1|-1|-1|-1|-1|-1|.27|2.5|-1||Eagle Reverse Resumed
1987D|655594696|-1|-1|-1|-1|-1|-1|.27|1|-1||Eagle Reverse Resumed
1987S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|4227728|Eagle Reverse Resumed
1988P|562052000|-1|-1|-1|-1|-1|-1|.5|4|-1||Eagle Reverse Resumed
1988D|596810688|-1|-1|-1|-1|-1|-1|.5|4|-1||Eagle Reverse Resumed
1988S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3262948|Eagle Reverse Resumed
1989P|512868000|-1|-1|-1|-1|-1|-1|.3|5|-1||Eagle Reverse Resumed
1989D|896535597|-1|-1|-1|-1|-1|-1|.27|1|-1||Eagle Reverse Resumed
1989S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3220194|Eagle Reverse Resumed
1990P|613792000|-1|-1|-1|-1|-1|-1|.27|4|-1||Eagle Reverse Resumed
1990D|927638181|-1|-1|-1|-1|-1|-1|.28|4|-1||Eagle Reverse Resumed
1990S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.75|3299559|Eagle Reverse Resumed

1991P|570968000|-1|-1|-1|-1|-1|-1|.3|4|-1||Eagle Reverse Resumed
1991D|630966693|-1|-1|-1|-1|-1|-1|.3|4|-1||Eagle Reverse Resumed
1991S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.25|2867787|Eagle Reverse Resumed
1992P|384764000|-1|-1|-1|-1|-1|-1|.35|5|-1||Eagle Reverse Resumed
1992D|389777107|-1|-1|-1|-1|-1|-1|.35|5|-1||Eagle Reverse Resumed
1992S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.25|2858981|Eagle Reverse Resumed
1992S,:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|7|1317579|Eagle Reverse Resumed
1993P|639276000|-1|-1|-1|-1|-1|-1|.3|2|-1||Eagle Reverse Resumed
1993D|645476128|-1|-1|-1|-1|-1|-1|.3|2|-1||Eagle Reverse Resumed
1993S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.25|2633439|Eagle Reverse Resumed
1993S,:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|7|761353|Eagle Reverse Resumed
1994P|825600000|-1|-1|-1|-1|-1|-1|.3|4|-1||Eagle Reverse Resumed
1994D|880034110|-1|-1|-1|-1|-1|-1|.3|4|-1||Eagle Reverse Resumed
1994S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|2484594|Eagle Reverse Resumed
1994S,:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|7|785329|Eagle Reverse Resumed
1995P|1004336000|-1|-1|-1|-1|-1|-1|.3|4|-1||Eagle Reverse Resumed
1995D|1103216000|-1|-1|-1|-1|-1|-1|.3|3|-1||Eagle Reverse Resumed
1995S|-1|-1|-1|-1|-1|-1|-1|-1|-1|4|2117496|Eagle Reverse Resumed
1995S,:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|7|679985|Eagle Reverse Resumed
1996P|925040000|-1|-1|-1|-1|-1|-1|.25|3|-1||Eagle Reverse Resumed
1996D|906868000|-1|-1|-1|-1|-1|-1|.25|3|-1||Eagle Reverse Resumed
1996S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.75|1750244|Eagle Reverse Resumed
1996S,:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|7|775021|Eagle Reverse Resumed
1997P|595740000|-1|-1|-1|-1|-1|-1|.25|3|-1||Eagle Reverse Resumed
1997D|599680000|-1|-1|-1|-1|-1|-1|.25|3|-1||Eagle Reverse Resumed
1997S|-1|-1|-1|-1|-1|-1|-1|-1|-1|3|2055000|Eagle Reverse Resumed
1997S,:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|7|741678|Eagle Reverse Resumed
1998P|896268000|-1|-1|-1|-1|-1|-1|.25|1|-1||Eagle Reverse Resumed
1998D|821000000|-1|-1|-1|-1|-1|-1|.25|1|-1||Eagle Reverse Resumed
1998S|-1|-1|-1|-1|-1|-1|-1|-1|-1|2.5|2086507|Eagle Reverse Resumed
1998S,:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|7|878782|Eagle Reverse Resumed

1999P,:Delaware|373400000|-1|-1|-1|-1|.25|-1|.50|-1|-1||State Quarters
1999D,:Delaware|401424000|-1|-1|-1|-1|.25|-1|.50|-1|-1||State Quarters
1999S,:Delaware|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.75|3713359|State Quarters
1999S,:Delaware:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|14|804565|State Quarters
1999P,:Pennsylvania|349000000|-1|-1|-1|-1|.25|-1|.50|-1|-1||State Quarters
1999D,:Pennsylvania|358332000|-1|-1|-1|-1|.25|-1|.50|-1|-1||State Quarters
1999S,:Pennsylvania|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.75|3713359|State Quarters
1999S,:Pennsylvania:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|14|804565|State Quarters
1999P,:New:Jersey|363200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
1999D,:New:Jersey|299028000|-1|-1|-1|-1|.25|-1|.35|-1|-1||State Quarters
