COIN|DENOMINATION|YEAR|ADDITIONAL_INFO|IS_GOLD|IS_SILVER
Indian Head|Small Cent|1908|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1909|Variety 3 - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1909||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1910||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1911||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1912||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1913||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1914||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1915||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1916||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1917||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1918||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1919||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1920||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1921||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1922||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1923||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1924||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1925||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1926||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1927||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1928||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1929||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1930||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1931||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1932||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1933||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1934||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1935||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1936||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1937||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1938||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1939||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1940||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1941||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1942||0|0

Lincoln, Wheat Ears Reverse|Small Cent|1943|Variety 2 - Zinc-Coated Steel|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1944|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1945|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1946|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1947|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1948|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1949|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1950|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1951|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1952|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1953|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1954|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1955|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1956|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1957|Variety 1 Resumed - Bronze|0|0

Lincoln, Wheat Ears Reverse|Small Cent|1958|Variety 1 Resumed - Bronze|0|0

Lincoln, Memorial Reverse|Small Cent|1959||0|0

Lincoln, Memorial Reverse|Small Cent|1960||0|0

Lincoln, Memorial Reverse|Small Cent|1961||0|0

Lincoln, Memorial Reverse|Small Cent|1962||0|0

Lincoln, Memorial Reverse|Small Cent|1963||0|0

Lincoln, Memorial Reverse|Small Cent|1964||0|0

Lincoln, Memorial Reverse|Small Cent|1965||0|0

Lincoln, Memorial Reverse|Small Cent|1966||0|0

Lincoln, Memorial Reverse|Small Cent|1967||0|0

Lincoln, Memorial Reverse|Small Cent|1968||0|0

Lincoln, Memorial Reverse|Small Cent|1969||0|0

Lincoln, Memorial Reverse|Small Cent|1970||0|0

Lincoln, Memorial Reverse|Small Cent|1971||0|0

Lincoln, Memorial Reverse|Small Cent|1972||0|0

Lincoln, Memorial Reverse|Small Cent|1973||0|0

Lincoln, Memorial Reverse|Small Cent|1974||0|0

