YEAR|MINTAGE|G-4|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO
1880|36000|50|100|125|175|225|275|350|300|1355|Variety 4 Resumed, With Weight Standard of Variety 5
1881|24000|50|100|125|175|225|300|350|300|975|Variety 4 Resumed, With Weight Standard of Variety 5
1882|3910000|6|7|9|13|30|75|110|300|1100|Variety 4 Resumed, With Weight Standard of Variety 5
1883|7674673|6|7|9|13|30|75|110|300|1039|Variety 4 Resumed, With Weight Standard of Variety 5
1884|3365505|6|7|9|13|30|75|110|300|875|Variety 4 Resumed, With Weight Standard of Variety 5
1884S|564969|9|13|20|35|110|325|575|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1885|2532497|6|7|9|13|30|75|110|300|930|Variety 4 Resumed, With Weight Standard of Variety 5
1885S|43690|150|335|600|1000|2000|2600|4200|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1886|6376684|6|7|9|13|30|75|110|300|886|Variety 4 Resumed, With Weight Standard of Variety 5
1886S|206524|10|20|30|50|90|275|500|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1887|11283229|6|7|9|13|30|75|110|300|710|Variety 4 Resumed, With Weight Standard of Variety 5
1887S|4454450|6|7|9|13|30|75|110|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1888|5495655|6|7|9|13|30|75|110|300|832|Variety 4 Resumed, With Weight Standard of Variety 5
1888S|1720000|6|7|9|15|40|120|300|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1889|7380000|6|7|9|13|30|75|110|300|711|Variety 4 Resumed, With Weight Standard of Variety 5
1889S|972678|7|10|20|35|60|200|400|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1890|9910951|6|7|9|13|30|75|110|300|590|Variety 4 Resumed, With Weight Standard of Variety 5
1890S|1423076|7|9|17|30|60|135|275|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1891|15310000|6|7|9|13|30|75|110|300|600|Variety 4 Resumed, With Weight Standard of Variety 5
1891O|4540000|6|7|9|15|40|110|150|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1891S|3196116|6|7|9|13|35|100|125|-1||Variety 4 Resumed, With Weight Standard of Variety 5
