YEAR|MINTAGE|VF-20|EF-40|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO
1990S|-1|-1|-1|-1|-1|.75|3299559|Clad Coinage and Silver Proofs
1991P|927220000|-1|-1|.1|.2|-1||Clad Coinage and Silver Proofs
1991D|601241114|-1|-1|.12|.2|-1||Clad Coinage and Silver Proofs
1991S|-1|-1|-1|-1|-1|1.2|2867787|Clad Coinage and Silver Proofs
1992P|593500000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1992D|616273932|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1992S|-1|-1|-1|-1|-1|2|2858981|Clad Coinage and Silver Proofs
1992S,:Silver|-1|-1|-1|-1|-1|3|1317579|Clad Coinage and Silver Proofs
1993P|766180000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1993D|750110166|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1993S|-1|-1|-1|-1|-1|2|2633439|Clad Coinage and Silver Proofs
1993S,:Silver|-1|-1|-1|-1|-1|3|761353|Clad Coinage and Silver Proofs

1994P|1189000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1994D|1303268110|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1994S|-1|-1|-1|-1|-1|2|2484594|Clad Coinage and Silver Proofs
1994S,:Silver|-1|-1|-1|-1|-1|3|785329|Clad Coinage and Silver Proofs
1995P|1125500000|-1|-1|.1|.2|-1||Clad Coinage and Silver Proofs
1995D|1274890000|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
1995S|-1|-1|-1|-1|-1|6|2117496|Clad Coinage and Silver Proofs
1995S,:Silver|-1|-1|-1|-1|-1|8|679985|Clad Coinage and Silver Proofs
1996P|1421163000|-1|-1|.1|.2|-1||Clad Coinage and Silver Proofs
1996D|1274890000|-1|-1|.1|.2|-1||Clad Coinage and Silver Proofs
1996W|1457000|-1|-1|6|10|-1||Clad Coinage and Silver Proofs
1996S|-1|-1|-1|-1|-1|1|1750244|Clad Coinage and Silver Proofs
1996S,:Silver|-1|-1|-1|-1|-1|3|775021|Clad Coinage and Silver Proofs
1997P|991640000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1997D|979810000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1997S|-1|-1|-1|-1|-1|3.5|2055000|Clad Coinage and Silver Proofs
1997S,:Silver|-1|-1|-1|-1|-1|9|741678|Clad Coinage and Silver Proofs
1998P|1163000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1998D|1172250000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1998S|-1|-1|-1|-1|-1|2|2086507|Clad Coinage and Silver Proofs
1998S,:Silver|-1|-1|-1|-1|-1|3|878792|Clad Coinage and Silver Proofs
1999P|2164000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1999D|1397750000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
1999S|-1|-1|-1|-1|-1|1|2543401|Clad Coinage and Silver Proofs
1999S,:Silver|-1|-1|-1|-1|-1|3.5|804565|Clad Coinage and Silver Proofs
2000P|1842500000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2000D|1818700000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2000S|-1|-1|-1|-1|-1|1|3082572|Clad Coinage and Silver Proofs
2000S,:Silver|-1|-1|-1|-1|-1|3|965421|Clad Coinage and Silver Proofs
2001P|1369590000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2001D|1412800000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2001S|-1|-1|-1|-1|-1|.5|2294909|Clad Coinage and Silver Proofs
2001S,:Silver|-1|-1|-1|-1|-1|3|889697|Clad Coinage and Silver Proofs
2002P|1187500000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2002D|1379500000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2002S|-1|-1|-1|-1|-1|.75|2319766|Clad Coinage and Silver Proofs
2002S,:Silver|-1|-1|-1|-1|-1|3|892229|Clad Coinage and Silver Proofs
2003P|1085500000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2003D|986500000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2003S|-1|-1|-1|-1|-1|.5|2172684|Clad Coinage and Silver Proofs
2003S,:Silver|-1|-1|-1|-1|-1|3|1125755|Clad Coinage and Silver Proofs
